"Type","Speaker","Topic","Year"
"Content Analysis","Bruno Goncalves, David Sanchez","Crowdsourcing dialect characterization through Twitter",2015
"Content Analysis","George Gkotsis, Maria Liakata, Carlos Pedrinaci, John Domingue","Leveraging textual features for best answer prediction in community-based question answering",2015
"Content Analysis","Suin Kim, Ingmar Weber, Li Wei, Alice Oh","Sociolinguistic analysis of Twitter in multilingual societies",2015
"Poster","Seija Sirkia, Aleksi Kallio, Heta Koski, Pekka Lehtovuori","CSC-Public Finnish infrastructure for data science",2015
"Poster","Aamena Alshamsi, Fabio Pianesi, Bruno Lepri, Iyad Rahwan","Social Diversity and Dynamic Psychological States",2015
"Poster","Adrian Bruhin, Lorenz Goette, Simon Haenni, Lingqing Jiang","Prosocial Motivation Spillovers in Networks with Strong and Weak Ties: A Study in Blood Donation",2015
"Poster","Adrian Carro, Raul Toral, Maxi San Miguel","Coupled dynamics of node and link states: A model for language competition",2015
"Poster","Adriano Galati, Maria Olivares, Stefan Mangold","Mobile Empowerment with Delay Tolerant Networks for Socio-Economic Development in South Africa",2015
"Poster","Alexander J Gross, Dhiraj Murthy, Lav R Varshney","Pace of Life in Cities and the Emergence of Town Tweeters",2015
"Poster","Allison Chaney, Mike Gartrell, Jake Hofman","A Large-scale Exploration of Group Viewing Patterns",2015
"Poster","Anamaria Berea, William Rand, Roland Rust","The Rise and Fall of Fads and Fashion",2015
"Poster","Andrey Bogomolov, Bruno Lepri, Jacopo Staiano, Nuria Oliver, Fabio Pianesi, Alex Pentland","Predicting Crime Hotspots Using Aggregated and Anonymized Data on People Dynamics",2015
"Poster","Biagio Aragona","Beyond analytics: what’s (really) new of big data from the methodological perspective of a social researcher.",2015
"Poster","Cheryl Abundo, Stephen Lansing, Elsa Guillot, Murray Cox, Sean Downey","Languages association with maternal genetic lineages persists from the late Pleistocene",2015
"Poster","Dario Zappala, Alessandro Pluchino, Andrea Rapisarda","Selective altruism in collective games",2015
"Poster","Didem Gundogdu, Ozlem Durmaz Incel, Albert Salah, Bruno Lepri","Social event detaction in aggegater mobile phone data using Markov modulated poisson provess",2015
"Poster","Dion O’Neale","Clustering of Technical Capabilities within Regions",2015
"Poster","Eric Malmi, Arno Solin, Aristides Gionis","Reconstructing and Analyzing Family Trees: Towards Longitudinal Computational Social Science",2015
"Poster","Fahad Alhasoun, Marta Gonzalez","Do Socially Connected People Move Similarly?",2015
"Poster","Giulio Cimini, Tiziano Squartini, Andrea Gabrielli, Diego Garlaschelli","Estimating topological properties of weighted networks from limited information",2015
"Poster","Giulio Rossetti, Riccardo Guidotti, Diego Pennacchioli, Dino Pedreschi, Fosca Giannotti","Time-Aware Interaction Prediction in Dynamic Social Networks exploiting Community Discover",2015
"Poster","Guy Kelman, David Bree, Eran Manes, Marco Lamieri","Missing linkage information in trade networks as a behavioral dynamic property of the network",2015
"Poster","Hayafumi Watanabe, Yukie Sano, Hideki Takayasu, Santi Saeyor, Koki Uchiyama, Misako Takayasu","Mathematical modeling of the fluctuation of the appearance of words in the Japanese blogs",2015
"Poster","Henri Kauhanen","Preferential Attachment, Neutral Evolution and the Shape of Language Change",2015
"Poster","Hywel Williams","Social media, collective behaviour and climate change",2015
"Poster","Innar Liiv, Vadim Landa, Raivo Vetik","Computational Social Science approach to Berry’s Acculturation Theory",2015
"Poster","Ismo Koponen","Modelling coupled cognitive and socio-dynamics in collaborative learning: How positive peer-feedback enhance learning through increased self-efficacy",2015
"Poster","Jan Lorenz","Modeling the evolution of political landscapes",2015
"Poster","Jeong-Han Kang, Jiwan Jeong","How did a Korean social networking service decline? Declining immediacy and breadth of responsiveness after a visible hand",2015
"Poster","Jisun An, Ingmar Weber","Improving nowcasting through social media by sample re-weighting",2015
"Poster","Johannes Zschache","The evolution of the matching law",2015
"Poster","Joyce Klu, Gesine Reinert, Chris Farmer","Effects of New Information on Opinions and Social Network Dynamics",2015
"Poster","Juste Raimbault","Hybrid Modeling of a Bike-Sharing Transportation System",2015
"Poster","Kazuki Tanaka, Kazutoshi Sasahara","The Validation of “More Tweets, More Votes” Hypothesis in Tokyo Gubernatorial Election 2014",2015
"Poster","Kunwoo Park, Meeyoung Cha, Juyong Park, Kuan-Ta Chen","Status and social dynamics in online games",2015
"Poster","Kwan Hui Lim, Ee-Peng Lim, Binyan Jiang, Palakorn Achananuparp","Online Experiments of Authority Effects on User Behavior in Email Campaigns",2015
"Poster","Luca Marotta, Jyrki Piilo, Rosario Mantegna","Patterns of high-frequency trading networks at NASDAQ OMX Helsinki",2015
"Poster","Maria Gabriella Grassia, Emma Zavarrone, Rosanna Cataldo, Sandra De Francisci Epifani","Sustainability meaning. A Textual Network Data Analysis",2015
"Poster","Markus Kainu, Joona Lehtomaki, Juuso Parkkinen, Juha Yrjola, Måns Magnusson, Leo Lahti","Computational ecosystems for social science",2015
"Poster","Matthew Wallace, Ismael Rafols","Characterizing the research landscape of Influenza A: new tools to inform policymaking",2015
"Poster","Neal Lathia, Gillian Sandstrom, Jason Rentfrow, Cecilia Mascolo","Happy people have Active Lives: Sensing Happiness using Smartphone Accelerometers",2015
"Poster","Nitesh Chawla, Reid Johnson, Yuxiao Dong","Will This Paper Increase Your h-index? Scientific Impact Prediction",2015
"Poster","Philip Habel, Ruth Moon, Anjie Fang","Assessing Information Leadership and Intermedia Agenda Setting through Social Media",2015
"Poster","Rion Brattig Correia, Kwan Nok Chan, Luis M Rocha","Detecting conflict in social unrest using Instagram",2015
"Poster","Seth Frey, Paul L Williams, Dominic K Albino","Information encryption in the expert management of strategic uncertainty",2015
"Poster","Shyam Ranganathan, Stamatios C Nicolis, David JT Sumpter","Setting development goals using stochastic data-driven models",2015
"Poster","Stefano De Sabbata, Scott A Hale, Helen Margetts, Taha Yasseri","Understanding the patterns of success in online petitioning",2015
"Poster","Syed Agha Muhammad, Kristof Van Laerhoven","DCS: Divide and Conquer Strategy for Detecting Overlapping Communities in Social Graphs",2015
"Poster","Taha Yasseri","Understanding Zooniverse; Crowd-sourced science",2015
"Poster","Takuto Sakamoto","Nomadic Computation: A Spatio-Temporal Analysis of Sustainability of African Pastoralists",2015
"Poster","Taro Takaguchi, Takanori Maehara, Masashi Toyoda, Ken-Ichi Kawarabayashi","Two classes of users as a unique feature of online communication networks",2015
"Poster","Teemu Tiinanen, Juha Tormanen, Raimo Hamalainen, Esa Saarinen","PoSITeams-Positive Systems Intelligent Teams, an Agent Based Simulator for Studying Group Behaviour",2015
"Poster","Tharsis T P Souza, Gautam Mitra, Philip C Treleaven, Olga Kolchyna, Tomaso Aste","Big Data, Big Noise: Analysing the Interplay Between Market Sentiment and Stock Returns",2015
"Poster","Toby Davies","Examining crime clustering via network motif analysis",2015
"Poster","Tommaso Venturini, Pablo Jensen, Bruno Latour","From simple explanations to complex observations: a new alliance for social and natural sciences",2015
"Poster","Veikko Eranti, Tuukka Yla-Anttila, Anna Kukkonen, Tomi Lehtimaki","Topic Modeling the Global Climate Policy Debate",2015
"Poster","Vincent Traag, Rick Quax, Peter Sloot","Geography of protest participation",2015
"Poster","Vyacheslav Polonski, Bernie Hogan","Assessing the Impact of Friendship Structure on Conversation Structure in Facebook Groups",2015
"Poster","Yilin Huang, Sanja Scepanovic, Daniele Miorandi, Martijn Warnier, Frances Brazier","Towards Smart Grid User Engagement Through Social Networking",2015
"Poster","Zack Almquist, Yang Yang","Suggested data-collection strategies for the application of dynamic network regression models: A simulation and empirical study",2015
"Networks","Alex Stivala, Johan Koskinen, David Rolls, Peng Wang, Garry Robins, Alessandro Lomi","Modeling large social networks via snowball samples",2015
"Networks","Ming-Xia Li, Vasyl Palchykov, Zhi-Qiang Jiang, Kimmo Kaski, Janos Kertesz, Salvatore Micciche, Michele Tumminello, Wei-Xing Zhou, Rosario Mantegna","Statistically validated mobile communication networks: Evolution of motifs in European and Chinese data",2015
"Networks","Tomaso Aste, Guido Previde Massara, Wolfram Barfuss, Rodrigo Mazorra, Philip C Treleaven, Tiziana Di Matteo","Making sense from Big Data: a network information filtering approach",2015
"Networks","Eugenio Valdano, Luca Ferreri, Chiara Poletto, Vittoria Colizza","Analytical computation of the epidemic threshold on temporal networks",2015
"Online Social Media","Paul Laufer, Claudia Wagner, Fabian Flock, Markus Strohmaier","Mining cross-cultural relations from Wikipedia-A study of 31 European food cultures",2015
"Online Social Media","Venkata Rama, Ingmar Weber","Co-following on Twitter",2015
"Online Social Media","Rossano Schifanella, Miriam Redi, Luca Maria Aiello","An image is worth more than a thousand favorites",2015
"Online Social Media","Geraud Le Falher, Aristides Gionis, Michael Mathioudakis","Where is beverly hills in your town? Finding similar neighborhoods across cities through social media activity",2015
"Games and Economic Behavior","Daniele Vilone, Jose J Ramasco, Anxo Sanchez, Maxi San Miguel","Social imitation vs strategic choice in the networked Prisoner's Dilemma",2015
"Games and Economic Behavior","Toni Perez, Jordi Zamora-Munt, Victor M Eguiluz","A web-based platform for analysing decision making choices from a collective guessing game",2015
"Games and Economic Behavior","Griffith Rees, Felix Reed-Tsochas","Mechanisms of social system decline: Why Sysops left FidoNet",2015
"Games and Economic Behavior","Nicolas Della Penna, Eaman Jahani, Peter Krafft, Alex Pentland, Julian Mcauley","Bubbles and network structure: a study in cryptocurrencies",2015
"Spreading Phenomena","Genois Mathieu, Christian Vestergaard, Ciro Cattuto, Alain Barrat","Reconstructing sampled temporal networks of contacts for the simulation of epidemic spread",2015
"Spreading Phenomena","Claudio Tessone","Network volatility as a source of collective dynamics",2015
"Spreading Phenomena","Roberto Visintainer, Piero Poletti, Bruno Lepri, Stefano Merler","The relevance of social contacts in the transmission of seasonal influenzas",2015
"Spreading Phenomena","Przemyslaw Grabowicz, Niloy Ganguly, Krishna Gummadi","Microscopic description of information diffusion",2015
"Wisdom of Crowds","Johan Ugander, Ryan Drapeau, Carlos Guestrin","The wisdom of multiple guesses: a simple strategy for eliciting and aggregating uncertainty",2015
"Wisdom of Crowds","Yves-Alexandre de Montjoye, Arkadiusz Stopczynski, Erez Shmueli, Alex Pentland, Sune Lehmann","The strength of the strongest ties in collaborative problem solving",2015
"Wisdom of Crowds","Giacomo Livan, Matteo Marsili","What do leaders know?",2015
"Wisdom of Crowds","Sebastian Herrmann, Franz Rothlauf, Joern Grahl","Social network studies: On the influence of task difficulty on problem solving",2015
"Keynote","Albert-Laszlo Barabasi","Science of success: quantifying outcomes in social systems",2015
"Keynote","Nicholas Christakis","The evolutionary significance of human social networks",2015
"Plenary","Petter Holme, Jari Saramaki","A paradox of importance in network epidemiology",2015
"Keynote","Sinan Aral","The dynamics of social influence and reputation online",2015
"Plenary","Daniela Iosub, David Laniado, Carlos Castillo, Mayo Fuster Morell, Andreas Kaltenbrunner","Networked emotions and communication styles in online collaboration",2015
"Plenary","Jingwen Zhang, Devon Brackbill, Sijia Yang, Damon Centola","Engineering behavior change through social media",2015
"Plenary","Jose A Cuesta, Carlos Gracia-Lazaro, Alfredo Ferrer, Yamir Moreno, Anxo Sanchez","Reputation drives cooperative behavior and network formation in human groups",2015
"Keynote","Alex Pentland","On collective action",2015
"Keynote","Dirk Helbing","A digital Nervousnet for everyone and the golden age of complexity science",2015
"Plenary","Riccardo Fusaroli, Kristian Tylen","Investigating conversational dynamics: interactive alignment, interpersonal synergy, and collective task performance",2015
"Keynote","Alessandro Vespignani","Computational epidemiology does more than forecast",2015
"Plenary","Seth Frey, Robert L Goldstone","Robust non-convergent flocking behavior in three different games of iterated reasoning",2015
"Plenary","Andrea Baronchelli, Damon Centola","The emergence of social conventions: an experimental study",2015
"Plenary","Milena Tsvetkova, Michael Macy","The contagion of prosocial behavior and the emergence of voluntary-contribution communities",2015
"Networks","Mark Lutter","Do women suffer from network closure? The moderating effect of social capital on gender inequality in a project-based labor market, 1929-2010",2015
"Networks","Georgios Rizos, Symeon Papadopoulos, Yiannis Kompatsiaris","Learning to classify users in online interaction networks",2015
"Networks","Kaj Kolja Kleineberg, Marian Boguna","Digital ecology: coexistence and domination among interacting networks",2015
"Networks","Abel Camacho Guardian, Radu Tanase, Claudio Tessone, Rene Algesheimer","A generalization of exponential random graph models for multiple networks",2015
"Networks","Patrick Park, Michael Macy","Cultural correlates of network clustering",2015
"Networks","Laetitia Gauvin, Andre Panisson, Alain Barrat, Ciro Cattuto","Revealing mesocale structures to control dynamical processes in socio-technical systems",2015
"Networks","Michele Starnini, Antoine Moinet, Romualdo Pastor-Satorras","Burstiness and aging in social temporal networks",2015
"Networks","Fariba Karimi, Ludvig Bohlin, Anna Samoilenko, Martin Rosvall, Andrea Lancichinetti","Local interests in a global world",2015
"Online Social Media","Olga Kolchyna, Philip C Treleaven, Tharsis T P Souza, Tomaso Aste","In quest of significance: Identifying bursts in social-media that predict consumer sales",2015
"Online Social Media","Fabio Celli, Bruno Lepri, Michal Kosinski","Prediction of personality from Facebook profile pictures",2015
"Online Social Media","Richard Jayadi Oentaryo, Jia-Wei Low, Arinto Murdopo, Philips Kokoh Prasetyo, Ee-Peng Lim","Characterizing humans and bots in social media",2015
"Online Social Media","Emre Kiciman","Towards decision support and goal achievement: Identifying action-outcome relationships from social media",2015
"Online Social Media","Lu Chen, Ingmar Weber, Adam Okulicz-Kozaryn","U.S. religious landscape on Twitter",2015
"Online Social Media","Aris Anagnostopoulos, Fabio Petroni, Mara Sorella","COLITA: collaborative interest-driven targeted advertising",2015
"Online Social Media","Young-Ho Eom, Pablo Aragon, David Laniado, Andreas Kaltenbrunner, Sebastiano Vigna, Dima L Shepelyansky","Assessing inter-cultural influences through ranking biographies",2015
"Online Social Media","Jose M Miotto, Holger Kantz, Eduardo Altmann","Modelling the popularity dynamics of online videos",2015
"Games and Economic Behavior","Andreas Diekmann, Ben Jann, Wojtek Przepiorka, Stefan Wehrli","Using ‘big data’ to investigate reputation formation and feedback giving in anonymous online markets",2015
"Games and Economic Behavior","Riccardo Di Clemente, Guido L Chiarotti, Matthieu Cristelli, Andrea Tacchella, Luciano Pietronero","Diversification versus specialization in complex ecosystems",2015
"Games and Economic Behavior","Adrien Querbes","Growth, reputation and information diffusion in the profit-based sharing economy",2015
"Games and Economic Behavior","Simon Gaechter, Chris Starmer, Fabio Tufano","Social relations and coordination: the value of ‘oneness’",2015
"Games and Economic Behavior","Alberto Antonioni, Angel Sanchez, Marco Tomassini","Spatial coordination and cooperation among humans: experimental results",2015
"Games and Economic Behavior","Marco Alberto Javarone","Is poker a skill game?",2015
"Games and Economic Behavior","Julia Poncela-Casasnovas, Joan T Matamalas, Sergio Gomez, Alex Arenas","Strategical incoherence regulates cooperation in social dilemmas on multiplex networks",2015
"Games and Economic Behavior","David Garcia, Frank Schweitzer","Trading and social signals in the Bitcoin ecosystem",2015
"Spreading Phenomena","James Gleeson, Kevin O'Sullivan, Raquel Banos, Yamir Moreno","Effects of memory and network structure on memes competing for popularity",2015
"Spreading Phenomena","Chiara Poletto, Marcelo Gomes, Ana Pastore Y Piontti, Luca Rossi, Livio Bioglio, Dennis Chao, Ira Longini, Elizabeth Halloran, Vittoria Colizza, Alessandro Vespignani","Global reaction to the 2014 West Africa Ebola epidemic: modification of the global air-travel network and its impact on the international epidemic spread",2015
"Spreading Phenomena","Clara Granell, Alex Arenas, Sergio Gomez","Analysis of endogenous and exogenous effects on competing spreading processess",2015
"Spreading Phenomena","Se-Wook Oh, Mason Porter","Complex contagions with lazy adoption",2015
"Spreading Phenomena","Lewis Mitchell, James Bagrow","Predictability and social information flow",2015
"Spreading Phenomena","Yang Yang, Jie Tang, Cane Wing-Ki Leung, Yizhou Sun, Qicong Chen, Juanzi Li, Qiang Yang","RAIN: social role-aware information diffusion",2015
"Spreading Phenomena","Soheil Feizi, Ken Duffy, Manolis Kellis, Muriel Medard","Network infusion to infer information sources in networks",2015
"Agent Based Models","Christian Bongiorno, Rosario Mantegna, Salvatore Micciche","An agent based model of air traffic management",2015
"Agent Based Models","Milena Tsvetkova, David Sumpter, Lovisa Sumpter","Experimental evidence for the schelling segregation model",2015
"Agent Based Models","Franziska Appel, Alfons Balmann, Changxing Dong, Jens Rommel","FarmAgriPoliS--An agent-based model to conduct behavioral experiments with farmers",2015
"Agent Based Models","Tobias Schroeder, Jesse Hoey, Kimberly Rogers","Modeling dynamic identities and uncertainty in social interactions: Bayesian affect control theory",2015
"Agent Based Models","Frensis Bras, Laia Becares, James Nazroo, Nick Shryane","The association between ethnic concentration and racism: an agent-based modelling approach",2015
"Agent Based Models","Gerardo Iniguez, Marton Karsai, Riivo Kikas, Zhongyuan Ruan, Kimmo Kaski, Janos Kertesz","Modelling the slow adoption of technology in online societies",2015
"Agent Based Models","Giangiacomo Bravo, Flaminio Squazzoni, Lorena Cadavid, Francisco Grimaldo","Why do we need more than one referee? A game theory-inspired agent-based model of peer review",2015
"Agent Based Models","Sean Reardon, Rachel Baker, Matt Kasman, Daniel Klasik, Joseph Townsend","Simulation models of the effects of race-and socioeconomic-based affirmative action policies",2015
"Poster","Abdullah Almaatouq, Alex Pentland, Erez Shmueli","Are You Your Friends’ Friend?",2015
"Poster","Adrian Carro, Raul Toral, Maxi San Miguel","Markets, herding and response to external information",2015
"Poster","Alice Ciccone, Ole Rogenberg, Ragnhild Braten","Fairness Preferences in Trade",2015
"Poster","Andres Abeliuk, Gerardo Berbeglia, Manuel Cebrian, Tad Hogg, Kristina Lerman, Pascal Van Hentenryck","Controlling Collective Behavior",2015
"Poster","Beatrice Valeri, Florian Daniel, Fabio Casati","Better recommendations of social leisure activities through better understanding of people’s choices and motivations",2015
"Poster","Bertrand Jayles, Clement Sire, Guy Theraulaz","From Wisdom of Crowds to Collective Intelligence: under what conditions can a group, as a whole, become smarter than any one person in the group?",2015
"Poster","Camellia Sarkar, Alok Yadav, Sanjiv Kumar Dwivedi, Aparna Rai, Sarika Jalan","Gender disparity in the society revealed through Bollywood networks",2015
"Poster","Carlos Sureda","Social Networks Generation with Heterogeneous Behavior",2015
"Poster","Daniel Alexandrov, Alexei Gorgadze","Virtual Caucasus on VK Social Networking Site",2015
"Poster","Eun Lee, Petter Holme","The influence of unequal distribution of information on convergence of society in diverse social structure",2015
"Poster","Flaminio Squazzoni","Computational social science that peers into peer review. The peer cost Action on â€œNew frontiers of peer reviewâ€_x009d_",2015
"Poster","Francesca Giardini, Daniele Vilone, Rosaria Conte","Revising opinions: A cognitive account of opinion dynamics",2015
"Poster","Francesco Bailo","Networks in the online mobilisation enterprise of Italy’s Five Star Movement",2015
"Poster","Fredrik Jansson, Moa Bursell","Ethnic Homophily and Social Influence in Workplace Preferences",2015
"Poster","Georgios Balikas, Nicolas Baskiotis","Detecting Influence in User-Activity Logs",2015
"Poster","Gerald Gurtner, Luca Valori, Fabrizio Lillo","Competitive allocation of resources on a network: an agent-based model of air companies competing for the best routes",2015
"Poster","Giangiacomo Bravo, Lucia Tamburino","A simple model of multidimensional opinion dynamics under social influence",2015
"Poster","Harris Papadakis, Costas Panagiotakis, Paraskevi Fragopoulou","SCCD: Distributed detection of communities based on synthetic coordinates",2015
"Poster","James Wilson, Bruce Desmarais, Skyler Cranmer, Shankar Bhamidi, Matthew Denny","Complex Stochastic Weighted Graphs: Flexible Specification and Simulation",2015
"Poster","Jaram Park, Young Min Baek, Meeyoung Cha","Cross-Cultural Comparison of Nonverbal Cues in Emoticons on Twitter: Evidence from Big Data Analysis",2015
"Poster","Jean-Philippe Mague, Eric Fleury, Marton Karsai, Matthieu Quignard","Dialectal characterization of linguistics variability on Twitter",2015
"Poster","Julian Maluck, Reik V Donner","The Interacting Network Topology of Global Trade",2015
"Poster","Julius Adebayo, Vivek Singh, Alex Pentland, Burcin Bozkaya","Where Will You Shop Next: Inferring Shopping Behavior from Inverse Covariance Matrices and Pseudo Social Networks",2015
"Poster","Katarzyna Growiec, Jakub Growiec","Social Capital, Trust, and Multiple Equilibria in Economic Performance",2015
"Poster","Katrin Weller, Katharina Kinder-Kurlanda","The Hidden Data of Social Media Research: Exploring Practices and Problems of Studying Social Media Data",2015
"Poster","Kosuke Shinoda","Emergence of Global Network Property based on Multi-agent Voting Model",2015
"Poster","Luis A Martinez Vaquero, Jose A Cuesta","Why does intolerance emergence under bad economic conditions? Insights from a reputation-based model",2015
"Poster","Luiza Sayfullina, Yoan Miche, Emil Eirola","Reducing sparsity for Text Classification",2015
"Poster","Manlio De Domenico, Albert Sole, Elisa Omodei, Sergio Gomez, Alex Arenas","Ranking in Multilayer Networks Unveils Versatility",2015
"Poster","Marie Moriame, Timoteo Carletti, Guillaume Deffuant, Floriana Gargiulo","Self-Organised Criticality and Dragon kings in the Leviathan model",2015
"Poster","Marshall Poole, Natalie Lambert","GroupScope: A Framework and Tools for Large Scale Study of Social Processes",2015
"Poster","Matteo Zignani, Mattia Dimauro, Sabrina Gaito, Gian Paolo Rossi","People across social media sites: usage and behaviors",2015
"Poster","Mauro Coletto, Claudio Lucchese, Salvatore Orlando, Raffaele Perego, Alessandro Chessa, Michelangelo Puliga","Electoral Predictions with Twitter: a Joint Machine Learning and Complex Network approach applied to an italian case study",2015
"Poster","Mikael Bask, Miia Bask","Social Influence and the Matthew Mechanism: The Case of an Artificial Cultural Market",2015
"Poster","Moreno Bonaventura, Vito Latora, Vincenzo Nicosia, Pietro Panzarasa","Interdisciplinarity and specialization: Roads to scientific success",2015
"Poster","Nathalie Gayraud, Evaggelia Pitoura, Panayiotis Tsaparas","Nathalie Gayraud, Evaggelia Pitoura and Panayiotis Tsaparas",2015
"Poster","Nicolò Cesa-Bianchi, Claudio Gentile, Fabio Vitale, Giovanni Zappella","Efficient Link Classification in Social Networks",2015
"Poster","Abhijin Adiga, Richard Beckman, Keith Bisset, Jiangzhuo Chen, Youngyun Chungbaek, Stephen Eubank, Sandeep Gupta, Maleq Khan, Chris Kuhlman, Eric Lofgren, Bryan Lewis, Achla Marathe, Madhav Marathe, Henning Mortveit, Eric Nordberg, Caitlin Rivers, Paula Stretz, Samarth Swarup, Amanda Wilson, Dawen Xie","Synthetic Populations for Epidemic Modeling",2015
"Poster","Panagiota Mixolia, Merkouris Karaliopoulos, Iordanis Koutsopoulos, Luca Maria Aiello, Gianmarco De Francisci Morales, Daniele Quercia","Getting Jobs Done for the Sharing Economy",2015
"Poster","Peter Davis, Barry Milne, Roy Lay-Yee, Jessica McLay","Computational social science as policy tool. The KIWI approach",2015
"Poster","Przemyslaw Grabowicz, Francisco Romero Ferrero, Theo Lins, Gonzalo Polavieja, Fabricio Benevenuto, Krishna Gummadi","An experimental study of social opinion manipulation",2015
"Poster","Radoslaw Michalski, Tomasz Kajdanowicz, Piotr Brodka, Przemyslaw Kazienko","Spread of Influence in Temporal Networks",2015
"Poster","Riccardo Di Clemente, Alessandro Belmonte, Sergey Buldyrev","On the spatial distribution of the Italian primary school-size",2015
"Poster","Robert Palovics, Frederick Ayala-Gomez, Andras A Benczur","Temporally Evolving Models for Dynamic Networks",2015
"Poster","Roberto Catini, Michelangelo Puliga, Alessandro Chessa","A Multilayer Analysis of the Social Network of Italian Members of Parliament",2015
"Poster","Sabin Roman, Markus Brede, Seth Bullock","Resilience of networked societies",2015
"Poster","Seth Frey, Robert L Goldstone","Interactions between scales of coordination and non-laminar structure in laboratory groups",2015
"Poster","Stefan Scholz, Manuel Batram, Wolfgang Greiner","The SILAS-Model: Sexual Infections as Large-Scale Agent-based Simulation",2015
"Poster","Thomas Theodoridis, Symeon Papadopoulos, Yiannis Kompatsiaris","Assessing the Reliability of Facebook User Profiling",2015
"Poster","Tommaso Ciarli, Ismael Rafols","Mapping the evolution of research. The case of rice since the ‘80s",2015
